source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url
Get Britain Out,,2019-05-16 14:00:10,It's almost as if the people want to have MPs and politicians that actually deliver on what they voted for. The time of spin and PR is drawing to a close. People want honest upfront politics and to Leave the EU. https://www.express.co.uk/news/uk/1127732/Brexit-news-European-elections-Brexit-Party-Nigel-Farage-Kate-Hoey-EU-UK,337,311,2,23,1,,1,27,1821105304701965,https://mbasic.facebook.com/story.php?story_fbid=1821105304701965&id=136556343156878
Get Britain Out,,2019-05-16 12:43:55,Evidently the appetite for real change in our politics is clear to see from the Brexit Party. You just have to listen to the people. Change UK have simply failed to do this and dont really offer change. https://www.telegraph.co.uk/politics/2019/05/15/change-uks-lead-candidate-scotland-quits-says-everyone-should/,855,800,5,53,1,,,51,1821045324707963,https://mbasic.facebook.com/story.php?story_fbid=1821045324707963&id=136556343156878
Get Britain Out,,2019-05-16 12:19:22,"This whole time we could now already be out of the EU. What a waste of time these months will have been, We should get on with signing our own trade deals and make our own laws. https://www.express.co.uk/news/politics/1127861/brexit-news-article-50-extension-robin-tilbrook-high-court-case-theresa-may",1100,1000,12,72,3,1,7,147,1821030794709416,https://mbasic.facebook.com/story.php?story_fbid=1821030794709416&id=136556343156878
Get Britain Out,,2019-05-16 12:15:01,The SNP seem to forget that more people voted in favour of Brexit than voted for the SNP. The Brexit Party may be about to shock many in Scotland https://www.express.co.uk/news/uk/1127830/Brexit-News-Brexit-Party-Nigel-Farage-SNP-Nicola-Sturgeon-European-Election,572,512,36,20,2,,2,62,1821028638042965,https://mbasic.facebook.com/story.php?story_fbid=1821028638042965&id=136556343156878
Get Britain Out,,2019-05-15 19:26:50,Not surprising at all! The Labour Party need to clearly back Brexit and support a No Deal Brexit which millions of Labour Leave voters voted for!! This is the only way we can secure our prosperous future and begin trading with the rest of the world!  https://order-order.com/2019/05/15/labour-brexit-policy-not-clear-87-electorate/,469,394,52,21,2,,,63,1820381784774317,https://mbasic.facebook.com/story.php?story_fbid=1820381784774317&id=136556343156878
Get Britain Out,,2019-05-15 18:47:00,The Brexit Party's success will push the Conservative Party towards picking a leader who will support a No Deal Brexit! This is what the British people voted for and it is the only way we can secure a full and comprehensive exit from the European Union!!  https://blogs.spectator.co.uk/2019/05/what-the-brexit-partys-success-means-for-the-tory-leadership-contest/,898,837,18,41,1,,1,110,1820293968116432,https://mbasic.facebook.com/story.php?story_fbid=1820293968116432&id=136556343156878
Get Britain Out,,2019-05-15 17:30:01,"This is bottom-up democracy!! Conservative Party Members and Association Chairs have spoken. The Vote of Confidence in Theresa May on June 15th is very likely to go against her. Although it is not legally binding, it will be very difficult for Mrs May to remain as PM and leader of the Conservative Party thereafter. Time to go!!  https://www.conservativehome.com/thetorydiary/2019/05/a-growing-number-of-constituency-associations-are-holding-ballots-on-no-confidence-in-mays-leadership.html",379,325,25,24,2,,3,93,1820203601458802,https://mbasic.facebook.com/story.php?story_fbid=1820203601458802&id=136556343156878
Get Britain Out,,2019-05-15 16:19:25,"Mark Reckless and three other Welsh AMs have formally confirmed that they are joining the Brexit Party. They are the only Party supporting a No Deal Brexit, so it is little surprise that their support base is growing rapidly. https://order-order.com/2019/05/15/four-welsh-ams-including-mark-reckless-defect-brexit-party/",807,745,5,56,1,,,54,1820174414795054,https://mbasic.facebook.com/story.php?story_fbid=1820174414795054&id=136556343156878
Get Britain Out,,2019-05-15 13:59:28,Our Director Jayne Adye has been quoted in the Daily Telegraph this week attacking the Peoples Vote Campaign for wasting Police time and Money by organising a Losers March. Read the whole piece here  https://getbritainout.org/peoples-vote-march-cost-revealed/,210,146,8,,11,1,44,25,1820061018139727,https://mbasic.facebook.com/story.php?story_fbid=1820061018139727&id=136556343156878
Get Britain Out,,2019-05-15 13:22:00,"Daniel Hannan outlines 8 reasons to vote for the Conservatives in the European Elections. He continues to believe the Conservative Party is the best Party to represent our views in the European Parliament. He still believes the Conservatives to be the best Party to deliver the Brexit we voted for. However, the Conservative Party must have a new leader to ensure we get a No Deal, WTO Terms Brexit!   https://www.conservativehome.com/thecolumnists/2019/05/daniel-hannan-eight-reasons-to-vote-conservative-in-next-weeks-euro-elections.html",407,90,266,,1,3,47,386,1819986518147177,https://mbasic.facebook.com/story.php?story_fbid=1819986518147177&id=136556343156878
Get Britain Out,,2019-05-15 12:03:00,"Senior Tory Crispin Blunt has said that his Party was in “deep trouble” and suggested fellow MPs consider “some kind of electoral arrangement” with the Brexit Party. This would involve Conservative candidates not standing in seats they do not already hold. This would mean Conservative voters, not already in a Conservative constituency, will not get the chance to vote for a Tory. This shows clearly how scared the Tories are of the Brexit Party!!  https://www.mirror.co.uk/news/politics/tory-mp-demands-conservatives-form-15803105",680,493,153,20,10,,4,197,1819971214815374,https://mbasic.facebook.com/story.php?story_fbid=1819971214815374&id=136556343156878
Get Britain Out,,2019-05-15 11:55:00,The Labour Party continues to war with itself as John McDonnell claims himself and Party Leader Jeremy Corbyn are Remainers. Labour cannot agree if they are a Remain or Leave Party! They are betraying their millions of Labour Leave voters by not fully supporting Brexit!!  https://www.dailymail.co.uk/news/article-7028325/John-McDonnell-claims-Jeremy-Corbyn-Remainer-heart.html,447,150,172,1,4,2,118,346,1819965871482575,https://mbasic.facebook.com/story.php?story_fbid=1819965871482575&id=136556343156878
Get Britain Out,,2019-05-15 11:45:00,"No surprise here!! Talks between the two Establishment Parties have yielded nothing in the past 2 months. They are very far apart on Brexit and most importantly, neither recognise that the only way to deliver Brexit is to leave with No Deal. https://www.businessinsider.com/labour-john-mcdonnell-brexit-talks-with-government-have-hit-a-low-point-2019-5?r=US&IR=T",661,394,155,4,5,1,102,311,1819961278149701,https://mbasic.facebook.com/story.php?story_fbid=1819961278149701&id=136556343156878
Get Britain Out,,2019-05-15 11:21:36,"Theresa May has announced that she will bring her Brexit Deal back to the House of Commons during the week commencing June 3rd, for a fourth Meaningful Vote. This will occur regardless of an agreement with the Labour Party being reached.  Already the DUP has criticised May's decision and many predict her Deal to fail yet again! The British public has made clear that we do not want her Deal. It does not deliver on the result of the Referendum and it is not what we voted for. We voted to take back complete control of our money, borders and laws. The only way to achieve this is to leave the EU without a Deal, on WTO Terms!  https://www.telegraph.co.uk/politics/2019/05/14/theresa-may-tells-cabinet-give-another-three-months-get-brexit/",1400,519,126,6,9,11,767,978,1819955988150230,https://mbasic.facebook.com/story.php?story_fbid=1819955988150230&id=136556343156878
Get Britain Out,,2019-05-14 19:35:38,Infighting has gripped Change UK! The so called Change Party is being run by a tiny little group where MP's other halves have leading roles in the running of the Party business. This is just more of the same from the Establishment. https://order-order.com/2019/05/14/chuks-infighting-kicks-off-blame-game/,636,187,398,2,,3,46,323,1819395804872915,https://mbasic.facebook.com/story.php?story_fbid=1819395804872915&id=136556343156878
Get Britain Out,,2019-05-14 17:51:00,"Former Tory leader Iain Duncan Smith, has said there is no point in Olly Robbins returning to Brussels today! We do not want their betrayal Brexit Deal. It does not deliver the Brexit we voted for. We want to leave the EU on WTO Terms so we can begin trading immediately with the rest of the world.  https://www.express.co.uk/news/uk/1126975/brexit-news-latest-olly-robbins-iain-duncan-smith-today-timeline-referendum-date-uk-eu",1400,1300,12,54,3,2,61,232,1819300668215762,https://mbasic.facebook.com/story.php?story_fbid=1819300668215762&id=136556343156878
Get Britain Out,,2019-05-14 17:17:42,"Bad news for the Conservative Party, as their failure to deliver Brexit and the rise of the Brexit Party continues. They need to replace Theresa May and get on with delivering the No Deal Brexit the British people voted for!!   https://order-order.com/2019/05/14/tories-fall-nine-points-behind-labour-brexit-party-get-10-despite-not-included/",594,465,101,12,5,1,10,140,1819292808216548,https://mbasic.facebook.com/story.php?story_fbid=1819292808216548&id=136556343156878
Get Britain Out,,2019-05-14 14:02:37,In case any of you are interested here is the information for all the upcoming Brexit Party Rallies around the country.  May 15th 19:00 - Merthyr Tydlfil May 16th 19:00 - Wolverhampton May 19th 17:00 - Frimley  May 21st 19:00 - London  Tickets available at the link below https://www.eventbrite.co.uk/o/the-brexit-party-19974491494,217,210,1,6,,,,19,1819106381568524,https://mbasic.facebook.com/story.php?story_fbid=1819106381568524&id=136556343156878
Get Britain Out,,2019-05-14 13:58:42,"The EU claim they are on a ""Brexit Break"" and will meet Olly Robbins tomorrow, not today! This is typical of the EU, wanting to delay our exit! The EU must not be allowed to dictate to our Government and country like this! We must leave the EU with No Deal now and end our subservience to the EU!  https://www.express.co.uk/news/uk/1126851/Brexit-news-UK-EU-Olly-Robbins-Theresa-May-Conservative-Labour-cross-party-latest-update",627,329,37,3,2,1,255,266,1819103561568806,https://mbasic.facebook.com/story.php?story_fbid=1819103561568806&id=136556343156878
Get Britain Out,,2019-05-14 13:53:25,Before you vote in the European Elections make sure you watch both parts of the BBC 4 Documentary. A true expose on the utter contempt the EU holds for the UK and vital viewing. Typical BBC to hide this away on BBC 4.  You can find part 1 here: https://www.bbc.co.uk/iplayer/episode/m0004vyd/storyville-brexit-behind-closed-doors-part-1 Part 2 here: https://www.bbc.co.uk/iplayer/episode/m0004vzb/storyville-brexit-behind-closed-doors-part-2,2000,1300,10,9,68,8,593,311,1819100151569147,https://mbasic.facebook.com/story.php?story_fbid=1819100151569147&id=136556343156878
Get Britain Out,,2019-05-14 13:29:32,"70% of Yvette Cooper's constituents voted to Leave, yet everyday, Mrs Cooper acts with total disregard towards her voters!  https://www.express.co.uk/news/uk/1126739/brexit-news-brexit-party-nigel-farage-european-elections-date-labour-party-yvette-cooper",276,202,2,9,2,1,60,91,1819081274904368,https://mbasic.facebook.com/story.php?story_fbid=1819081274904368&id=136556343156878
Get Britain Out,,2019-05-14 13:27:00,Nigel Farage lambasts the BBC's bias. He outlines how Andrew Marr focused on his past and made no attempt to engage with the most pressing issue facing the UK today. Mr Farage goes on to claim that multiple commentators have been instructed by producers not to mention the Brexit Party in order to avoid giving them publicity. https://www.telegraph.co.uk/politics/2019/05/13/andrew-marrs-obsession-past-betrays-bias-heart-bbc/,1700,1500,40,23,9,5,206,294,1819030414909454,https://mbasic.facebook.com/story.php?story_fbid=1819030414909454&id=136556343156878
Get Britain Out,,2019-05-14 12:40:00,Nigel Farage has long argued that No Deal is better than a bad Deal. A No Deal Brexit is the best way of starting our prosperous global future. Leaving the EU on WTO Terms would terrify the EU and they would come running to us for a Free Trade Deal!  https://www.conservativewoman.co.uk/marr-farage-and-the-mystery-of-the-missing-quote/,716,668,8,39,,,1,68,1819018471577315,https://mbasic.facebook.com/story.php?story_fbid=1819018471577315&id=136556343156878
Get Britain Out,,2019-05-14 12:36:28,"If you could not read it in our earlier post, here is the full text of the 1922 Committee’s letter to Theresa May. We must not enter any form of Customs Union. If we do, we will not be able to trade with the rest of the world and begin our prosperous global future!  https://getbritainout.org/wp-content/uploads/2019/05/The-full-text-of-the-the-1922-Committee%E2%80%99s-letter-to-Theresa-May.pdf",345,316,2,1,7,,19,40,1819045294907966,https://mbasic.facebook.com/story.php?story_fbid=1819045294907966&id=136556343156878
Get Britain Out,June Slater,2019-05-14 12:08:09,"OVER 40,000 STAFF TO RUN THE EU 625 RUN THE WORLD TRADE ORGANISATION",4300,3600,33,66,270,6,241,897,1819025394909956,https://mbasic.facebook.com/story.php?story_fbid=1819025394909956&id=136556343156878
Get Britain Out,,2019-05-14 11:59:08,Prominent Brexiteer Jacob Rees-Mogg has urged Theresa May to quit!! A new poll has put the Conservatives in fifth place in the upcoming European Elections. She has failed her Party and the nation. Time to go!!  https://www.independent.co.uk/news/uk/politics/brexit-party-tory-voters-may-quit-mogg-a8911281.html,1400,1300,33,59,3,,3,216,1819012818244547,https://mbasic.facebook.com/story.php?story_fbid=1819012818244547&id=136556343156878
Get Britain Out,,2019-05-14 11:52:18,"Labour is a divided Party, who cannot agree on what they want. They claim to be a Brexit Party but yet they support a Second Referendum. If they continue this way they will alienate their supporters on both sides. Labour must respect the democratic will of the British people and finally support Brexit unequivocally.  https://www.telegraph.co.uk/politics/2019/05/13/labour-remain-reform-party-deputy-leader-tom-watson-says/",643,294,130,3,5,4,207,293,1819008928244936,https://mbasic.facebook.com/story.php?story_fbid=1819008928244936&id=136556343156878
Get Britain Out,Anna-Marie Braddick,2019-05-14 11:29:33,"The Conservative Backbench 1922 Committee has written a letter to Theresa May, calling for her reject Labour proposals for closer association or even membership of the Customs Union. This is not what we voted for and if we were to join the Customs Union, it would be a betrayal of Brexit!  https://www.thetimes.co.uk/edition/news/the-letter-to-theresa-may-3tgkfz0v5",474,412,1,15,3,,43,62,1819002478245581,https://mbasic.facebook.com/story.php?story_fbid=1819002478245581&id=136556343156878
Get Britain Out,,2019-05-13 20:12:23,Just in case any of you missed the latest polls - the Brexit Party is now more than twice as popular as any other party for the upcoming European Elections. We must stay strong and keep pushing for Brexit. Leave is still what the people want!! Credit to The Sun for the graphic,2800,2600,34,208,9,1,2,173,1818380258307803,https://mbasic.facebook.com/story.php?story_fbid=1818380258307803&id=136556343156878
Get Britain Out,,2019-05-13 20:04:45,Graphic courtesy of The SunJust in case any of you missed the latest polls - the Brexit Party is now more than twice as popular as any other party for the upcoming European Elections. We must stay strong and keep pushing for Brexit. Leave is still what the people want!! Credit to The Sun for the graphic,1000,1000,10,62,4,,1,43,1818374211641741,https://mbasic.facebook.com/story.php?story_fbid=1818374211641741&id=136556343156878
Get Britain Out,Anna-Marie Braddick,2019-05-13 19:54:50,Yet another failing of Theresa May and her negotiating team. How on earth can we possibly be fulfilling Brexit if the EU still has power over us - and Theresa May has no control over her Cabinet with Collective Responsibility? We need a new and Brexit Prime Minister and a new Cabinet.  Drain the SWAMP! https://order-order.com/2019/05/13/eu-control-uk-energy-prices-brexit/,769,299,10,2,19,,439,213,1818367694975726,https://mbasic.facebook.com/story.php?story_fbid=1818367694975726&id=136556343156878
Get Britain Out,,2019-05-13 19:52:17,Looking more and more likely some Conservatives will at least vote for the Brexit Party if not potentially join forces!  https://order-order.com/2019/05/13/tory-mps-brexit-party-tease/,577,534,19,22,2,,,37,1818365421642620,https://mbasic.facebook.com/story.php?story_fbid=1818365421642620&id=136556343156878
Get Britain Out,,2019-05-13 19:25:19,Just in case any of you missed the latest polls - the Brexit Party is now more than twice as popular as any other party for the upcoming European Elections. We must stay strong and keep pushing for Brexit. Leave is still what the people want!! Credit to The Sun for the graphic,4700,4200,63,336,15,2,2,380,1818348448310984,https://mbasic.facebook.com/story.php?story_fbid=1818348448310984&id=136556343156878
Get Britain Out,,2019-05-13 19:22:10,Perhaps this should have been another walking holiday revelation. May should have been long gone by now. https://www.thesun.co.uk/news/9059132/theresa-may-husband-resign-brexit/,138,91,30,1,4,1,11,111,1818345798311249,https://mbasic.facebook.com/story.php?story_fbid=1818345798311249&id=136556343156878
Get Britain Out,,2019-05-13 13:30:01,Nigel Farage's monumental rise in recent weeks has in part been because of his ability to attract dissatisfied Conservative voters. Many Conservatives believe Boris Johnson is the only choice for taking the Conservative Party forward.  https://www.thesun.co.uk/news/opinion/9059873/tories-dead-boris-johnson-survive/,432,361,44,16,4,1,6,149,1818007335011762,https://mbasic.facebook.com/story.php?story_fbid=1818007335011762&id=136556343156878
Get Britain Out,Anna-Marie Braddick,2019-05-13 12:05:00,"Even No.10 Loyalists believe Theresa May will not remain PM amidst the torrent of calls for her to resign. If her Deal fails for a fourth time, she must resign!  https://www.thesun.co.uk/news/9059132/theresa-may-husband-resign-brexit/",404,303,65,5,6,2,23,270,1817998898345939,https://mbasic.facebook.com/story.php?story_fbid=1817998898345939&id=136556343156878
Get Britain Out,,2019-05-13 11:58:00,The pressure on Theresa May to resign grows by the day!! She will meet the Backbench 1922 Committee on Thursday to set an official departure date. Supporters and members at all levels of the Conservative Party are calling for her to go!!  https://www.ft.com/content/cefaf1cc-74a4-11e9-be7d-6d846537acab,1000,886,80,57,,2,19,386,1817992895013206,https://mbasic.facebook.com/story.php?story_fbid=1817992895013206&id=136556343156878
Get Britain Out,,2019-05-13 11:48:30,The Prime Minister has been urged to scrap Labour Brexit Talks and instead hold more indicative votes in the House of Commons! She should scrap talks with Labour and ignore the indicative votes system and just get us out with No Deal!!  https://www.mirror.co.uk/news/politics/brexit-news-theresa-urged-ditch-15549578,661,580,31,8,1,2,39,207,1817991018346727,https://mbasic.facebook.com/story.php?story_fbid=1817991018346727&id=136556343156878
Get Britain Out,,2019-05-13 11:34:03,"Deputy Leader of the Labour Party, Tom Watson, is today going to call for a Second Brexit Referendum! This is a disgrace from a Party which claims to support the democratic decision of the British people to leave the EU!!  https://www.telegraph.co.uk/politics/2019/05/12/jeremy-corbyn-fresh-pressure-tom-watson-keir-starmer-demand/",1000,193,107,,3,9,734,845,1817984668347362,https://mbasic.facebook.com/story.php?story_fbid=1817984668347362&id=136556343156878
Get Britain Out,Anna-Marie Braddick,2019-05-12 17:16:06,"I bought some food waste bags in M&S recently - not advertised on the wrapper, but stamped on the bags ‘Produced in the EU’. Noticed same on many items in M&S. They are taking over from Waitrose with Ocado, so let Ocado know they MUST start stocking British, or we will order from Waitrose and ALL other supermarkets in the UK - which STRONGLY support and stock British / UK goods! WE DO NOT NEED EU PRODUCTS. BREXIT POWER OF THE PEOPLE Jayne Adye, Director  Get Britain OutMAKING MY BREXIT STAND… BOUGHT BRITISH TODAY  Only a few things but surprisingly easy! Downfall was lemons - and a compromise on the orange juice - pressed in this country BUT didn’t say where the oranges came from. Could have bought an English honey but I like dark honey so again, a compromise for one made from NON-EU honeys. There are plenty of local honey producers though, so not a future problem.  Dove soap is made in Germany so that went back on the shelf unfortunately but ‘hey ho’ Pears soap is produced in India so was able to avoid the EU. Haven’t used Pears soap for years - will be an interesting experience. So I ended up with British milk British tomatoes British Potatoes – Jersey potatoes were also available British eggs British Wiltshire produced soup Scottish smoked salmon  Honey from non-EU countries produced in the UK Orange juice squeezed in the UK Soap produced in India Probably more of a challenge when it comes to cleaning products & toiletries – we’ll see. N.B. Sorry for the labels - we just don't seem to be able to get away from May 😉",5000,4600,14,199,13,17,72,552,1817320701747092,https://mbasic.facebook.com/story.php?story_fbid=1817320701747092&id=136556343156878
Get Britain Out,,2019-05-12 14:26:24,The Labour Party are busy launching policies which have nothing to do with the EU elections. Constantly trying to distract voters from the fact they don't have a real Brexit policy. https://www.politicshome.com/news/uk/political-parties/labour-party/news/103804/jeremy-corbyn-unveils-plan-more-double-minimum,1400,433,661,2,7,7,389,1474,1817172525095243,https://mbasic.facebook.com/story.php?story_fbid=1817172525095243&id=136556343156878
Get Britain Out,,2019-05-12 14:24:16,Even the BBC are repeating the Andrew Marr interview with Farage all day - makes Marr look like a poodle - as he has turned into - not meant to insult gorgeous poodles!  You can listen to the brilliant full Nigel Farage interview on the BBC's Andrew Marr show from this morning here:  https://www.youtube.com/watch?v=DRNjotba5UY,2100,1900,47,142,3,,5,307,1817171131762049,https://mbasic.facebook.com/story.php?story_fbid=1817171131762049&id=136556343156878
Get Britain Out,Pro Great Britain,2019-05-12 14:12:32,More and more the failings of Theresa are being laid bare. The establishment went into negotiations trying to ensure there was as little change as possible. This is not what we voted for. We voted for real Change. https://order-order.com/2019/05/12/farage-pm-never-asked-free-trade-deal/,822,741,,29,6,,46,76,1817162368429592,https://mbasic.facebook.com/story.php?story_fbid=1817162368429592&id=136556343156878
Get Britain Out,Pro Great Britain,2019-05-12 13:59:57,Tony Blair is out of touch and out of date. The Brexit Party is truly voicing the opinions of the country. We must push on and deliver Brexit.  https://www.express.co.uk/news/uk/1126026/brexit-news-brexit-party-nigel-farage-european-elections-poll-tony-blair-sky-news-video,2300,2000,202,104,1,,3,431,1817155275096968,https://mbasic.facebook.com/story.php?story_fbid=1817155275096968&id=136556343156878
Get Britain Out,Pro Great Britain,2019-05-11 22:42:24,The proud British Lion,5700,5300,23,374,3,1,1,180,1817155178430311,https://mbasic.facebook.com/story.php?story_fbid=1817155178430311&id=136556343156878
Get Britain Out,,2019-05-12 13:54:36,In case you didn't see the video of Barnier complaining about Domonic Raab actually fighting for the UKs interests and not rolling over to unelected Bureaucrats. You can watch it here.  https://twitter.com/GetBritainOut/status/1127526562612621312,449,374,4,9,4,1,57,36,1817151901763972,https://mbasic.facebook.com/story.php?story_fbid=1817151901763972&id=136556343156878
Get Britain Out,,2019-05-12 13:40:10,Any deal with Labour is doomed to fail. People didn't vote for a soft Brexit compromise they voted for a true Brexit. A new PM is needed to take the fight to the EU and Remainers alike. https://www.dailymail.co.uk/debate/article-7018789/GAVIN-WILLIAMSON-Brexit-deal-Labour-end-tears.html?ns_mchannel=rss&ns_campaign=1490&ito=1490,528,499,3,16,,1,9,40,1817137608432068,https://mbasic.facebook.com/story.php?story_fbid=1817137608432068&id=136556343156878
Get Britain Out,,2019-05-12 13:33:27,May needs to go now and a true Brexiteer like Raab should take the wheel. The lack of imagination and bravery on the part of May and Robbins shows just how much they wanted to push a remain agenda.  https://www.telegraph.co.uk/politics/2019/05/11/raab-infuriating-eu-demands-may-never-dared-make-shows-should/,589,546,13,17,2,1,10,69,1817132041765958,https://mbasic.facebook.com/story.php?story_fbid=1817132041765958&id=136556343156878
Get Britain Out,,2019-05-12 13:24:22,Making this warning after already pushing a delay on the Country. We should have left on March 29th. https://www.thesun.co.uk/news/brexit/9054368/britain-sleepwalking-staying-eu-brexit-secretary/,416,159,17,1,5,1,233,181,1817124438433385,https://mbasic.facebook.com/story.php?story_fbid=1817124438433385&id=136556343156878
Get Britain Out,,2019-05-11 18:59:00,"Both want a Second Vote, both claim it will strengthen democracy, but the reality is that both simply are ignoring the democratic decision and want the result to favour them!  https://www.spiked-online.com/2019/05/10/erdogan-and-remoaners-peas-in-a-pod/",918,617,50,3,4,4,240,145,1816207171858445,https://mbasic.facebook.com/story.php?story_fbid=1816207171858445&id=136556343156878
Get Britain Out,,2019-05-11 17:05:00,"If we leave the EU with No Deal, the EU will come running to us to secure a Free Trade Deal!! We must leave the EU without a Deal, on WTO Terms, and begin our prosperous global future or risk being trapped within the EU.  https://uk.reuters.com/article/uk-britain-eu-poll/uk-eu-to-agree-free-trade-deal-october-31-brexit-date-in-doubt-reuters-poll-idUKKCN1SG107",1600,1500,8,74,6,,37,128,1816205108525318,https://mbasic.facebook.com/story.php?story_fbid=1816205108525318&id=136556343156878
Get Britain Out,,2019-05-11 16:51:04,"Get Britain Out’s Director, Jayne Adye, has been quoted in the Daily Express discussing the anger about yet another extended holiday for MPs while the most important issue is to Get Britain Out of the EU, so the Great British Public and all businesses and  can stabilise, and move forward as a global nation. We are ready for a No Deal WTO Rules Brexit. The Prime Minister must stop the delays! https://www.express.co.uk/news/uk/1125511/brexit-news-european-elections-anger-MPs-take-holiday-westminster-whitsun-recess",524,306,7,1,4,1,205,183,1816375648508264,https://mbasic.facebook.com/story.php?story_fbid=1816375648508264&id=136556343156878
Get Britain Out,,2019-05-11 15:40:00,"The Conservative Party having failed to deliver the promised No Deal Brexit when we reached March 29th, has lost authority over Brexit and voters are seeking an alternative. Betrayed Conservatives are switching to the Brexit Party which is good news for Labour.  https://www.spectator.co.uk/2019/05/paul-mason-the-brexit-party-is-great-news-for-labour/",745,663,52,25,1,,4,155,1816202455192250,https://mbasic.facebook.com/story.php?story_fbid=1816202455192250&id=136556343156878
Get Britain Out,,2019-05-11 13:43:00,"Neither do we! We want out of the EU as soon as possible! We do not want May's Deal, which will keep us connected to the EU. We want a No Deal Brexit! This is the only way to ensure the UK has a comprehensive exit and separation from the EU, so we can begin our prosperous global future!!  https://www.politico.eu/article/france-does-not-want-repeated-brexit-delays-presidential-advisor/",1000,929,54,14,2,,30,197,1816198221859340,https://mbasic.facebook.com/story.php?story_fbid=1816198221859340&id=136556343156878
Get Britain Out,Jayne Adye,2019-05-11 13:18:00,"At the very least they should go on a parallel voting strike, and help campaigners to up the ante – by, for example coordinating a headline-grabbing No-Confidence vote, passed by the hundreds of anti-May local Tory Associations in a single day. https://www.telegraph.co.uk/politics/2019/05/10/thing-can-save-tory-party-now-grassroots-guerrilla-war/",243,225,13,4,,,1,52,1816210728524756,https://mbasic.facebook.com/story.php?story_fbid=1816210728524756&id=136556343156878
Get Britain Out,,2019-05-11 12:45:01,"The woes of the Conservative Party continue as Party donor, Jeremy Hosking, has backed the Brexit Party. If the Conservative Party had delivered the No Deal Brexit we voted for, they would not be in rapid decline!  https://news.sky.com/story/jeremy-hosking-former-conservative-donor-revealed-as-major-backer-of-brexit-party-11716597",1900,1800,22,124,1,,2,130,1816195321859630,https://mbasic.facebook.com/story.php?story_fbid=1816195321859630&id=136556343156878
Get Britain Out,Jayne Adye,2019-05-11 12:23:55,Resign now!!! The PM has failed to deliver Brexit for too long! She is trying for a Soft Brexit with Labour and it makes a mockery of our decision to leave the EU!  https://www.thesun.co.uk/news/9049926/theresa-may-refuse-resignation-date/,787,395,16,,2,2,372,381,1816193031859859,https://mbasic.facebook.com/story.php?story_fbid=1816193031859859&id=136556343156878
Get Britain Out,Jayne Adye,2019-05-10 23:04:49,,8400,7700,19,466,6,4,189,594,1815740691905093,https://mbasic.facebook.com/story.php?story_fbid=1815740691905093&id=136556343156878
Get Britain Out,June Slater,2019-05-10 21:26:36,"So much for the LibDems EU Election campaign! Vince Cable has even dragged the horrible Europhile Guy Verhofstadt over here from Brussels to drum up support. Not many are interested though! So much for Remain and a People’sVote!realityville is the one on the right lol   As Guy Verhofrat landed in the UK a person flocked to see him,  when  interviewed Guy he said... 'yes it was wise of me to bring the family members and my PR team that swelled the crowd to 36 and a half including the bus driver and security.. These kind of days are one for the memoirs ;-)",2300,780,1300,8,12,6,161,554,1815653538580475,https://mbasic.facebook.com/story.php?story_fbid=1815653538580475&id=136556343156878
Get Britain Out,,2019-05-10 18:47:00,"The campaign against No Deal has been totally inaccurate! A No Deal, WTO Terms Brexit is the only way the UK can secure a comprehensive exit from the EU. It will give us a prosperous a global future!  https://www.conservativewoman.co.uk/rory-youre-wrong-we-can-thrive-under-no-deal/",490,473,,16,,,1,47,1815414048604424,https://mbasic.facebook.com/story.php?story_fbid=1815414048604424&id=136556343156878
Get Britain Out,,2019-05-10 17:31:01,"Change UK claim they want to change politics in the UK!  However, this is one of their prospective MEPs' comments: “In my view, the best way to get a People’s Vote to stop Brexit is to vote Lib Dem. That will send a very clear message to Mrs May and Mr Corbyn. This is what I will be doing. I urge other Remain voters to vote Lib Dem to stop Brexit.” Doesn't say much for her own Party - does it? https://order-order.com/2019/05/10/change-uk-mep-vote-lib-dem/",663,92,417,1,6,6,141,557,1815407781938384,https://mbasic.facebook.com/story.php?story_fbid=1815407781938384&id=136556343156878
Get Britain Out,,2019-05-10 17:16:46,Donald Tusk has claimed there is a 30 per cent that Brexit will be cancelled and said there is “no reason” to give up on the UK staying in the European Union. This is laughable! We are leaving the EU and there is nothing they can do to prevent this!! When we leave on WTO Terms the EU will come running to us to secure a Free Trade Deal!!  https://www.telegraph.co.uk/politics/2019/05/10/brexit-latest-news-guy-verhofstadt-joins-sir-vince-cable-lib/,2100,1000,445,9,11,4,630,857,1815422421936920,https://mbasic.facebook.com/story.php?story_fbid=1815422421936920&id=136556343156878
Get Britain Out,,2019-05-10 16:42:00,"Sir John Redwood's letter sets out clearly the failings of May's Deal and how it does not allow us to become an independent nation! We must reject May's Deal and ensure we leave the EU without a Deal, on WTO Terms!!  http://johnredwoodsdiary.com/2019/05/10/my-letter-to-the-attorney-general-about-the-delay-brexit-withdrawal-agreement/",771,724,4,13,5,2,23,70,1815369558608873,https://mbasic.facebook.com/story.php?story_fbid=1815369558608873&id=136556343156878
